Feature,KL(KNN),KL(MICE)
Age,0.0,0.0
first TSH,0.00012750363504675704,3.774472800697922e-05
last TSH,0.007370615002962511,0.002986851654404268
first T3,0.002577048628099613,0.006048303752296353
last T3,0.031753249595310166,0.008999017475048889
first T4,0.0022173860621355103,0.0002954934832923277
last T4,0.15577400771509287,6.118129698044855
Smoking,0.029999384021572133,0.5707618823224508
Marital status,0.0,0.0
first FT3,0.026802343933988584,5.772863747299787
last FT3,0.005374401322531516,0.001294220768897176
